Sex,Sample ID,Month,Season,Year,Site,Ad_Atlantic_Salmon,Ad_cutthroat_trout,Ad_dolly_varden,Ad_Chinook_salmon,Ad_chum_salmon,Ad_coho_salmon,Ad_pink_salmon,Ad_sockeye_salmon,Ad_steelhead,American_Shad,Atka_Mackerel,Bathyraja_interrupta,Bay_Goby,Bering_Flounder,Big_Skate,Blackbelly_Eelpout,Buffalo_Sculpin,Butter_Sole,Cabezon,California_Market_Squid,Capelin,China_Rockfish,Dover_Sole,Dungeness_crab,English_Sole,Eulachon,Giant_Pacific_Octopus,Giant_Wrymouth,Great_Sculpin,Juv_Atlantic_salmon,Juv_Chinook_salmon,Juv_chum_salmon,Juv_coho_salmon,Juv_cutthroat_trout,Juv_dolly_varden,Juv_pink_salmon_,Juv_sockeye_salmon,Juv_steelhead,Kelp_Greenling,Lingcod,Longfin_Smelt,Longspine_Combfish,Magister_armhook_squid,Northern_Anchovy,Northern_Clingfish,Northern_Smoothtongue,Pacific_Cod,Pacific_Hake,Pacific_Halibut,Pacific_Herring,Pacific_Red_Octopus,Pacific_Sand_Lance,Pacific_Sandfish,Pacific_Staghorn_Sculpin,Pacific_Tomcod,Padded_Sculpin,Pile_Surfperch,Plainfin_Midshipman,Prickly_Sculpin,Puget_Sound_Rockfish,Red_Irish_Lord,River_Lamprey,Rock_Gunnel,Sablefish,Saddleback_Gunnel,Sand_Sole,Shiner_Surfperch,Snake_Prickleback,Speckled_Sanddab,Spiny_Dogfish,Spotted_Ratfish,Starry_Flounder,Striped_Surfperch,Surf_Smelt,Tadpole_Sculpin,Threespine_Stickleback,Walleye_Pollock,Whitebait_Smelt,Whitespotted_Greenling,Wolf_Eel,,Batrachoidiformes,Cephalopoda,Chimaeriformes,Clupeiformes,Crustacea,Gadiformes,Gasterosteiformes,Gobiesociformes,Osmeriformes,Perciformes,Petromyzontiformes,Pleuronectiformes,Rajiformes,Salmoniformes,Scorpaeniformes,Squaliformes
F,Pv12.032,5,spring,2012,Comox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
F,Pv12.028,5,spring,2012,Comox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.67084639,0,3.761755486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.567398119,0,0,0,,0,0,0,3.761755486,0,96.23824451,0,0,0,0,0,0,0,0,0,0
F,Pv12.024,5,spring,2012,Comox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.407407407,0,3.703703704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.407407407,0,55.55555556,0,0,0,0,0,0,0,3.703703704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.703703704,18.51851852,0,0,0,,3.703703704,0,0,55.55555556,0,25.92592593,3.703703704,0,0,0,0,0,0,11.11111111,0,0
F,Pv12.020,5,spring,2012,Comox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.55630414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.443695861,0,0,0,,0,0,0,98.55630414,0,1.443695861,0,0,0,0,0,0,0,0,0,0
M,Pv12.034,5,spring,2012,Comox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.0971867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.9028133,0,0,0,,0,0,0,57.0971867,0,42.9028133,0,0,0,0,0,0,0,0,0,0
M,Pv12.033,5,spring,2012,Comox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.459016393,0,0,0,0,7.37704918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.557377048,0,0,0,0,0,0,0,0,0,2.459016393,0,4.098360656,0,72.95081967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.098360656,0,0,0,,0,7.37704918,0,72.95081967,0,8.196721312,0,0,2.459016393,0,0,0,2.459016393,6.557377048,0,0
M,Pv12.031,5,spring,2012,Comox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.14004376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.859956236,0,0,0,,0,0,0,98.14004376,0,1.859956236,0,0,0,0,0,0,0,0,0,0
M,Pv12.030,5,spring,2012,Comox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.82577132,0,0,0,0,0,0,0,0,0,0,0,4.174228675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,4.174228675,0,0,0,0,0,0,0,0,0,95.82577132,0,0
M,Pv12.029,5,spring,2012,Comox,0,0,0,0,0,0,0,0,0,0,0,2.777777778,0,0,2.777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.58695652,0,0,0,0.301932367,0,0,0,0,0,0,0,0,0,2.777777778,0,8.333333333,0,52.77777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.777777778,0,0,0,0,2.777777778,0,0,0,5.555555556,5.555555556,0,0,0,,0,0,0,52.77777778,0,13.88888889,5.555555556,0,2.777777778,2.777777778,0,2.777777778,5.555555556,13.88888889,0,0
M,Pv12.027,5,spring,2012,Comox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
