gbifid,datasetkey,occurrenceid,kingdom,phylum,class,order,family,genus,species,infraspecificepithet,taxonrank,scientificname,countrycode,locality,publishingorgkey,decimallatitude,decimallongitude,coordinateuncertaintyinmeters,coordinateprecision,elevation,elevationaccuracy,depth,depthaccuracy,eventdate,day,month,year,taxonkey,specieskey,basisofrecord,institutioncode,collectioncode,catalognumber,recordnumber,identifiedby,license,rightsholder,recordedby,typestatus,establishmentmeans,lastinterpreted,mediatype,issue
30949847,835727b6-f762-11e1-a439-00145eb45e9a,30949847,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vicia,Vicia monantha,triflora,SUBSPECIES,Vicia villosa subsp. triflora (Ten.) O.Bolòs, Vigo, Masalles & Ninot,1990,ES,CADAQUÉS, a les brolles del cap de Creus,32498aba-d8d4-4202-ae39-d795577cdc4a,42.319489,3.320318,,,,,,,1996-05-02T00:00:00Z,2,5,1996,3971168,2975416,HUMAN_OBSERVATION,HGI,S,9962,,,CC_BY_4_0,,L. Vilar,
30949846,835727b6-f762-11e1-a439-00145eb45e9a,30949846,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vicia,Vicia monantha,triflora,SUBSPECIES,Vicia villosa subsp. triflora (Ten.) O.Bolòs, Vigo, Masalles & Ninot,1990,ES,GIRONA, a la zona del Calvari,32498aba-d8d4-4202-ae39-d795577cdc4a,41.914532,2.835945,,,,,,,1996-04-29T00:00:00Z,29,4,1996,3971168,2975416,HUMAN_OBSERVATION,HGI,S,9961,,,CC_BY_4_0,,L. Vilar,
30949845,835727b6-f762-11e1-a439-00145eb45e9a,30949845,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vicia,Vicia hirsuta,,SPECIES,Vicia hirsuta (L.) Gray,ES,PAU, prop del turó granític vora el Riutort,32498aba-d8d4-4202-ae39-d795577cdc4a,42.31086,3.126132,,,,,,,1996-04-24T00:00:00Z,24,4,1996,2975328,2975328,HUMAN_OBSERVATION,HGI,S,9876,,,CC_BY_4_0,,P. Gesti,,,2018-07-06T21:20:41.473Z,
30949844,835727b6-f762-11e1-a439-00145eb45e9a,30949844,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vicia,Vicia disperma,,SPECIES,Vicia disperma DC.,ES,PAU, al turó granític prop del Riutort,32498aba-d8d4-4202-ae39-d795577cdc4a,42.31086,3.126132,,,,,,,1996-04-24T00:00:00Z,24,4,1996,2974981,2974981,HUMAN_OBSERVATION,HGI,S,9872,,,CC_BY_4_0,,P. Gesti,,,2018-07-06T21:20:41.474Z,
30949843,835727b6-f762-11e1-a439-00145eb45e9a,30949843,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vicia,Vicia bithynica,,SPECIES,Vicia bithynica L.,ES,PAU, al turó granític prop del Riutort,32498aba-d8d4-4202-ae39-d795577cdc4a,42.31086,3.126132,,,,,,,1996-04-19T00:00:00Z,19,4,1996,2975309,2975309,HUMAN_OBSERVATION,HGI,S,9837,,,CC_BY_4_0,,P. Gesti,,,2018-07-06T21:20:41.477Z,
30949842,835727b6-f762-11e1-a439-00145eb45e9a,30949842,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vicia,Vicia hybrida,,SPECIES,Vicia hybrida L.,ES,PALAU-SAVERDERA, en un camp prop de la depuradora,32498aba-d8d4-4202-ae39-d795577cdc4a,42.301842,3.138247,,,,,,,1996-04-09T00:00:00Z,9,4,1996,2975257,2975257,HUMAN_OBSERVATION,HGI,S,9801,,,CC_BY_4_0,,P. Gesti,,,2018-07-06T21:20:41.503Z,
30949841,835727b6-f762-11e1-a439-00145eb45e9a,30949841,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vicia,Vicia lathyroides,,SPECIES,Vicia lathyroides L.,ES,PALAU-SAVERDERA, pradell terofític a la bassa gran de l'E del mas Torre del Vent,32498aba-d8d4-4202-ae39-d795577cdc4a,42.283829,3.138207,,,,,,,1996-04-09T00:00:00Z,9,4,1996,2975076,2975076,HUMAN_OBSERVATION,HGI,S,9797,,,CC_BY_4_0,,P. Gesti,,,2018-07-06T21:20:41.868Z,
30949840,835727b6-f762-11e1-a439-00145eb45e9a,30949840,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vicia,Vicia benghalensis,,SPECIES,Vicia benghalensis L.,ES,ROSES, al marge de la pista forestal entre el mas Torre del Vent i la Garriga,32498aba-d8d4-4202-ae39-d795577cdc4a,42.283829,3.138207,,,,,,,1996-04-09T00:00:00Z,9,4,1996,2975384,2975384,HUMAN_OBSERVATION,HGI,S,9794,,,CC_BY_4_0,,P. Gesti,,,2018-07-06T21:20:41.477Z,
30949839,835727b6-f762-11e1-a439-00145eb45e9a,30949839,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vicia,Vicia sativa,nigra,SUBSPECIES,Vicia sativa subsp. nigra (L.) Ehrh.,ES,ROSES, en un camp abandonat entre el mas Torre del Vent i la Garriga,32498aba-d8d4-4202-ae39-d795577cdc4a,42.283829,3.138207,,,,,,,1996-04-09T00:00:00Z,9,4,1996,2975035,2975014,HUMAN_OBSERVATION,HGI,S,9793,,,CC_BY_4_0,,P. Gesti,,,2018-07-06T21:20:41.885Z,
30949838,835727b6-f762-11e1-a439-00145eb45e9a,30949838,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vicia,Vicia parviflora,gracilis,VARIETY,Vicia tetrasperma var. gracilis (Loisel.) Asch. & Graebn.,ES,VILOBÍ D'ONYAR,32498aba-d8d4-4202-ae39-d795577cdc4a,41.864712,2.697508,,,,,,,1985-05-13T00:00:00Z,13,5,1985,2975085,2974776,HUMAN_OBSERVATION,HGI,S,9620,,,CC_BY_4_0,,L. Vilar,,,2018-07-06T21:20:41.891Z,,GEODETIC_DATUM_ASSUMED_WGS84
