LotArea,Street,LandContour,LandSlope,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,ExterQual,ExterCond,Foundation,Heating,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleCondition,SalePrice
8450,Pave,Lvl,Gtl,1Fam,2Story,7,5,2003,2003,Gd,TA,PConc,GasA,Ex,Y,856,854,0,1710,2,1,3,1,8,0,Y,0,61,0,0,0,0,0,2,2008,Normal,208500.0
9600,Pave,Lvl,Gtl,1Fam,1Story,6,8,1976,1976,TA,TA,CBlock,GasA,Ex,Y,1262,0,0,1262,2,0,3,1,6,1,Y,298,0,0,0,0,0,0,5,2007,Normal,181500.0
11250,Pave,Lvl,Gtl,1Fam,2Story,7,5,2001,2002,Gd,TA,PConc,GasA,Ex,Y,920,866,0,1786,2,1,3,1,6,1,Y,0,42,0,0,0,0,0,9,2008,Normal,223500.0
9550,Pave,Lvl,Gtl,1Fam,2Story,7,5,1915,1970,TA,TA,BrkTil,GasA,Gd,Y,961,756,0,1717,1,0,3,1,7,1,Y,0,35,272,0,0,0,0,2,2006,Abnorml,140000.0
14260,Pave,Lvl,Gtl,1Fam,2Story,8,5,2000,2000,Gd,TA,PConc,GasA,Ex,Y,1145,1053,0,2198,2,1,4,1,9,1,Y,192,84,0,0,0,0,0,12,2008,Normal,250000.0
14115,Pave,Lvl,Gtl,1Fam,1.5Fin,5,5,1993,1995,TA,TA,Wood,GasA,Ex,Y,796,566,0,1362,1,1,1,1,5,0,Y,40,30,0,320,0,0,700,10,2009,Normal,143000.0
10084,Pave,Lvl,Gtl,1Fam,1Story,8,5,2004,2005,Gd,TA,PConc,GasA,Ex,Y,1694,0,0,1694,2,0,3,1,7,1,Y,255,57,0,0,0,0,0,8,2007,Normal,307000.0
10382,Pave,Lvl,Gtl,1Fam,2Story,7,6,1973,1973,TA,TA,CBlock,GasA,Ex,Y,1107,983,0,2090,2,1,3,1,7,2,Y,235,204,228,0,0,0,350,11,2009,Normal,200000.0
6120,Pave,Lvl,Gtl,1Fam,1.5Fin,7,5,1931,1950,TA,TA,BrkTil,GasA,Gd,Y,1022,752,0,1774,2,0,2,2,8,2,Y,90,0,205,0,0,0,0,4,2008,Abnorml,129900.0
7420,Pave,Lvl,Gtl,2fmCon,1.5Unf,5,6,1939,1950,TA,TA,BrkTil,GasA,Ex,Y,1077,0,0,1077,1,0,2,2,5,2,Y,0,4,0,0,0,0,0,1,2008,Normal,118000.0
