MSZoning,LotArea,Street,LandContour,Utilities,LandSlope,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,ExterQual,ExterCond,Foundation,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleCondition,SalePrice
RL,8450,Pave,Lvl,AllPub,Gtl,1Fam,2Story,7,5,2003,2003,Gd,TA,PConc,706,0,150,856,GasA,Ex,Y,856,854,0,1710,1,0,2,1,3,1,Gd,8,Typ,0,2,548,Y,0,61,0,0,0,0,0,2,2008,Normal,208500
RL,9600,Pave,Lvl,AllPub,Gtl,1Fam,1Story,6,8,1976,1976,TA,TA,CBlock,978,0,284,1262,GasA,Ex,Y,1262,0,0,1262,0,1,2,0,3,1,TA,6,Typ,1,2,460,Y,298,0,0,0,0,0,0,5,2007,Normal,181500
RL,11250,Pave,Lvl,AllPub,Gtl,1Fam,2Story,7,5,2001,2002,Gd,TA,PConc,486,0,434,920,GasA,Ex,Y,920,866,0,1786,1,0,2,1,3,1,Gd,6,Typ,1,2,608,Y,0,42,0,0,0,0,0,9,2008,Normal,223500
RL,9550,Pave,Lvl,AllPub,Gtl,1Fam,2Story,7,5,1915,1970,TA,TA,BrkTil,216,0,540,756,GasA,Gd,Y,961,756,0,1717,1,0,1,0,3,1,Gd,7,Typ,1,3,642,Y,0,35,272,0,0,0,0,2,2006,Abnorml,140000
RL,14260,Pave,Lvl,AllPub,Gtl,1Fam,2Story,8,5,2000,2000,Gd,TA,PConc,655,0,490,1145,GasA,Ex,Y,1145,1053,0,2198,1,0,2,1,4,1,Gd,9,Typ,1,3,836,Y,192,84,0,0,0,0,0,12,2008,Normal,250000
RL,14115,Pave,Lvl,AllPub,Gtl,1Fam,1.5Fin,5,5,1993,1995,TA,TA,Wood,732,0,64,796,GasA,Ex,Y,796,566,0,1362,1,0,1,1,1,1,TA,5,Typ,0,2,480,Y,40,30,0,320,0,0,700,10,2009,Normal,143000
RL,10084,Pave,Lvl,AllPub,Gtl,1Fam,1Story,8,5,2004,2005,Gd,TA,PConc,1369,0,317,1686,GasA,Ex,Y,1694,0,0,1694,1,0,2,0,3,1,Gd,7,Typ,1,2,636,Y,255,57,0,0,0,0,0,8,2007,Normal,307000
RL,10382,Pave,Lvl,AllPub,Gtl,1Fam,2Story,7,6,1973,1973,TA,TA,CBlock,859,32,216,1107,GasA,Ex,Y,1107,983,0,2090,1,0,2,1,3,1,TA,7,Typ,2,2,484,Y,235,204,228,0,0,0,350,11,2009,Normal,200000
RM,6120,Pave,Lvl,AllPub,Gtl,1Fam,1.5Fin,7,5,1931,1950,TA,TA,BrkTil,0,0,952,952,GasA,Gd,Y,1022,752,0,1774,0,0,2,0,2,2,TA,8,Min1,2,2,468,Y,90,0,205,0,0,0,0,4,2008,Abnorml,129900
RL,7420,Pave,Lvl,AllPub,Gtl,2fmCon,1.5Unf,5,6,1939,1950,TA,TA,BrkTil,851,0,140,991,GasA,Ex,Y,1077,0,0,1077,1,0,1,0,2,2,TA,5,Typ,2,1,205,Y,0,4,0,0,0,0,0,1,2008,Normal,118000
RL,11200,Pave,Lvl,AllPub,Gtl,1Fam,1Story,5,5,1965,1965,TA,TA,CBlock,906,0,134,1040,GasA,Ex,Y,1040,0,0,1040,1,0,1,0,3,1,TA,5,Typ,0,1,384,Y,0,0,0,0,0,0,0,2,2008,Normal,129500
RL,11924,Pave,Lvl,AllPub,Gtl,1Fam,2Story,9,5,2005,2006,Ex,TA,PConc,998,0,177,1175,GasA,Ex,Y,1182,1142,0,2324,1,0,3,0,4,1,Ex,11,Typ,2,3,736,Y,147,21,0,0,0,0,0,7,2006,Partial,345000
RL,12968,Pave,Lvl,AllPub,Gtl,1Fam,1Story,5,6,1962,1962,TA,TA,CBlock,737,0,175,912,GasA,TA,Y,912,0,0,912,1,0,1,0,2,1,TA,4,Typ,0,1,352,Y,140,0,0,0,176,0,0,9,2008,Normal,144000
RL,10652,Pave,Lvl,AllPub,Gtl,1Fam,1Story,7,5,2006,2007,Gd,TA,PConc,0,0,1494,1494,GasA,Ex,Y,1494,0,0,1494,0,0,2,0,3,1,Gd,7,Typ,1,3,840,Y,160,33,0,0,0,0,0,8,2007,Partial,279500
RL,10920,Pave,Lvl,AllPub,Gtl,1Fam,1Story,6,5,1960,1960,TA,TA,CBlock,733,0,520,1253,GasA,TA,Y,1253,0,0,1253,1,0,1,1,2,1,TA,5,Typ,1,1,352,Y,0,213,176,0,0,0,0,5,2008,Normal,157000
RM,6120,Pave,Lvl,AllPub,Gtl,1Fam,1.5Unf,7,8,1929,2001,TA,TA,BrkTil,0,0,832,832,GasA,Ex,Y,854,0,0,854,0,0,1,0,2,1,TA,5,Typ,0,2,576,Y,48,112,0,0,0,0,0,7,2007,Normal,132000
RL,11241,Pave,Lvl,AllPub,Gtl,1Fam,1Story,6,7,1970,1970,TA,TA,CBlock,578,0,426,1004,GasA,Ex,Y,1004,0,0,1004,1,0,1,0,2,1,TA,5,Typ,1,2,480,Y,0,0,0,0,0,0,700,3,2010,Normal,149000
RL,10791,Pave,Lvl,AllPub,Gtl,Duplex,1Story,4,5,1967,1967,TA,TA,Slab,0,0,0,0,GasA,TA,Y,1296,0,0,1296,0,0,2,0,2,2,TA,6,Typ,0,2,516,Y,0,0,0,0,0,0,500,10,2006,Normal,90000
RL,13695,Pave,Lvl,AllPub,Gtl,1Fam,1Story,5,5,2004,2004,TA,TA,PConc,646,0,468,1114,GasA,Ex,Y,1114,0,0,1114,1,0,1,1,3,1,Gd,6,Typ,0,2,576,Y,0,102,0,0,0,0,0,6,2008,Normal,159000
RL,7560,Pave,Lvl,AllPub,Gtl,1Fam,1Story,5,6,1958,1965,TA,TA,CBlock,504,0,525,1029,GasA,TA,Y,1339,0,0,1339,0,0,1,0,3,1,TA,6,Min1,0,1,294,Y,0,0,0,0,0,0,0,5,2009,Abnorml,139000
RL,14215,Pave,Lvl,AllPub,Gtl,1Fam,2Story,8,5,2005,2006,Gd,TA,PConc,0,0,1158,1158,GasA,Ex,Y,1158,1218,0,2376,0,0,3,1,4,1,Gd,9,Typ,1,3,853,Y,240,154,0,0,0,0,0,11,2006,Partial,325300
RM,7449,Pave,Bnk,AllPub,Gtl,1Fam,1.5Unf,7,7,1930,1950,TA,TA,PConc,0,0,637,637,GasA,Ex,Y,1108,0,0,1108,0,0,1,0,3,1,Gd,6,Typ,1,1,280,N,0,0,205,0,0,0,0,6,2007,Normal,139400
RL,9742,Pave,Lvl,AllPub,Gtl,1Fam,1Story,8,5,2002,2002,Gd,TA,PConc,0,0,1777,1777,GasA,Ex,Y,1795,0,0,1795,0,0,2,0,3,1,Gd,7,Typ,1,2,534,Y,171,159,0,0,0,0,0,9,2008,Normal,230000
RM,4224,Pave,Lvl,AllPub,Gtl,TwnhsE,1Story,5,7,1976,1976,TA,TA,PConc,840,0,200,1040,GasA,TA,Y,1060,0,0,1060,1,0,1,0,3,1,TA,6,Typ,1,2,572,Y,100,110,0,0,0,0,0,6,2007,Normal,129900
RL,8246,Pave,Lvl,AllPub,Gtl,1Fam,1Story,5,8,1968,2001,TA,Gd,CBlock,188,668,204,1060,GasA,Ex,Y,1060,0,0,1060,1,0,1,0,3,1,Gd,6,Typ,1,1,270,Y,406,90,0,0,0,0,0,5,2010,Normal,154000
RL,14230,Pave,Lvl,AllPub,Gtl,1Fam,1Story,8,5,2007,2007,Gd,TA,PConc,0,0,1566,1566,GasA,Ex,Y,1600,0,0,1600,0,0,2,0,3,1,Gd,7,Typ,1,3,890,Y,0,56,0,0,0,0,0,7,2009,Normal,256300
RL,7200,Pave,Lvl,AllPub,Gtl,1Fam,1Story,5,7,1951,2000,TA,TA,CBlock,234,486,180,900,GasA,TA,Y,900,0,0,900,0,1,1,0,3,1,Gd,5,Typ,0,2,576,Y,222,32,0,0,0,0,0,5,2010,Normal,134800
RL,11478,Pave,Lvl,AllPub,Gtl,1Fam,1Story,8,5,2007,2008,Gd,TA,PConc,1218,0,486,1704,GasA,Ex,Y,1704,0,0,1704,1,0,2,0,3,1,Gd,7,Typ,1,3,772,Y,0,50,0,0,0,0,0,5,2010,Normal,306000
RL,16321,Pave,Lvl,AllPub,Gtl,1Fam,1Story,5,6,1957,1997,TA,TA,CBlock,1277,0,207,1484,GasA,TA,Y,1600,0,0,1600,1,0,1,0,2,1,TA,6,Typ,2,1,319,Y,288,258,0,0,0,0,0,12,2006,Normal,207500
RM,6324,Pave,Lvl,AllPub,Gtl,1Fam,1Story,4,6,1927,1950,TA,TA,BrkTil,0,0,520,520,GasA,Fa,N,520,0,0,520,0,0,1,0,1,1,Fa,4,Typ,0,1,240,Y,49,0,87,0,0,0,0,5,2008,Normal,68500
C (all),8500,Pave,Lvl,AllPub,Gtl,1Fam,2Story,4,4,1920,1950,TA,Fa,BrkTil,0,0,649,649,GasA,TA,N,649,668,0,1317,0,0,1,0,3,1,TA,6,Typ,0,1,250,N,0,54,172,0,0,0,0,7,2008,Normal,40000
RL,8544,Pave,Lvl,AllPub,Gtl,1Fam,1Story,5,6,1966,2006,TA,TA,CBlock,0,0,1228,1228,GasA,Gd,Y,1228,0,0,1228,0,0,1,1,3,1,Gd,6,Typ,0,1,271,Y,0,65,0,0,0,0,0,6,2008,Normal,149350
RL,11049,Pave,Lvl,AllPub,Gtl,1Fam,1Story,8,5,2007,2007,Gd,TA,PConc,0,0,1234,1234,GasA,Ex,Y,1234,0,0,1234,0,0,2,0,3,1,Gd,7,Typ,0,2,484,Y,0,30,0,0,0,0,0,1,2008,Normal,179900
