sex,league,position,age,salary,height,weight,topspeed,careergoals
male,first,attacker,19.4,278.0,173.3,70.7,32.82,45.0
male,first,attacker,18.1,146.0,175.5,68.3,33.01,40.0
male,first,attacker,24.3,187.0,176.2,70.9,34.11,137.0
male,first,attacker,31.3,493.0,181.4,73.8,34.53,193.0
male,first,attacker,25.2,218.0,174.6,67.0,34.51,147.0
male,first,attacker,24.1,311.0,186.9,78.9,32.34,101.0
male,first,attacker,25.3,192.0,182.5,77.1,33.5,132.0
male,first,attacker,24.9,280.0,169.8,66.9,33.72,134.0
male,first,attacker,18.3,112.0,170.7,68.1,34.76,72.0
male,first,attacker,18.0,275.0,176.7,80.3,33.42,54.0
male,first,attacker,26.4,287.0,180.0,75.3,33.34,136.0
male,first,attacker,24.5,208.0,182.0,67.5,35.25,117.0
male,first,attacker,28.2,179.0,177.2,67.3,32.78,149.0
male,first,attacker,18.6,46.0,179.2,73.5,31.21,22.0
male,first,attacker,28.8,148.0,176.4,67.4,31.42,136.0
male,first,attacker,19.7,255.0,178.6,71.7,32.7,46.0
male,first,attacker,22.1,234.0,176.4,71.8,33.61,108.0
male,first,attacker,26.7,269.0,174.4,67.9,35.34,164.0
male,first,attacker,23.2,179.0,188.5,81.8,34.01,118.0
male,first,attacker,21.1,289.0,175.0,65.7,34.22,94.0
male,first,attacker,25.2,254.0,171.4,58.9,34.27,136.0
male,first,attacker,32.8,130.0,177.3,70.5,31.37,185.0
male,first,attacker,29.7,263.0,170.3,63.3,36.4,204.0
male,first,attacker,22.2,132.0,186.3,76.0,31.37,41.0
male,first,attacker,23.4,309.0,179.7,75.3,33.04,91.0
male,first,attacker,23.0,318.0,175.8,64.8,34.22,119.0
male,first,attacker,29.7,179.0,170.9,72.7,32.5,160.0
male,first,attacker,19.4,245.0,183.3,82.9,31.38,36.0
male,first,attacker,29.6,179.0,183.5,77.1,31.97,140.0
male,first,attacker,26.9,312.0,175.0,70.8,30.78,118.0
male,first,attacker,22.4,330.0,174.9,74.0,33.38,93.0
male,first,attacker,29.4,192.0,181.6,74.5,32.89,163.0
male,first,attacker,21.3,223.0,171.1,64.7,32.39,59.0
male,first,attacker,29.8,198.0,170.0,66.6,33.93,196.0
male,first,attacker,21.9,135.0,175.4,67.7,35.0,119.0
male,first,attacker,23.5,204.0,172.5,69.0,31.84,96.0
male,first,attacker,22.2,267.0,177.1,74.1,34.17,111.0
male,first,attacker,23.3,261.0,182.9,75.4,31.97,87.0
male,first,attacker,31.5,259.0,174.4,71.8,32.86,204.0
male,first,attacker,26.9,386.0,180.9,79.6,33.85,144.0
male,first,attacker,20.9,100.0,179.2,76.5,33.31,95.0
male,first,attacker,24.3,228.0,179.0,78.2,34.51,118.0
male,first,attacker,27.1,226.0,176.9,66.0,32.65,150.0
male,first,attacker,25.4,278.0,168.0,70.2,34.07,158.0
male,first,attacker,24.4,145.0,175.3,79.6,32.49,116.0
male,first,attacker,28.8,261.0,174.9,67.3,32.28,152.0
male,first,attacker,20.5,240.0,168.7,64.5,36.75,120.0
male,first,attacker,24.3,243.0,171.3,70.9,29.98,81.0
male,first,attacker,18.2,125.0,177.8,72.3,32.81,25.0
male,first,attacker,31.3,307.0,175.9,72.2,34.22,221.0
male,first,attacker,32.7,399.0,174.1,76.1,33.46,208.0
male,first,attacker,25.0,193.0,165.4,66.9,32.94,140.0
male,first,attacker,18.4,102.0,171.4,75.2,33.53,68.0
male,first,attacker,32.9,191.0,178.4,72.1,30.28,178.0
male,first,attacker,23.1,169.0,177.0,75.3,34.7,127.0
male,first,attacker,29.1,264.0,181.2,79.1,32.06,130.0
male,first,attacker,21.5,210.0,170.5,66.8,35.97,113.0
male,first,attacker,25.9,327.0,173.6,72.7,32.02,135.0
male,first,attacker,26.1,176.0,172.7,72.6,34.64,167.0
male,first,attacker,28.3,172.0,175.8,70.0,31.82,124.0
male,first,attacker,32.1,256.0,177.6,74.7,29.46,140.0
male,first,attacker,26.3,182.0,176.9,79.5,30.77,118.0
male,first,attacker,27.2,204.0,167.6,63.4,31.93,140.0
male,first,attacker,31.7,269.0,177.8,73.7,33.44,174.0
male,first,attacker,32.3,316.0,166.8,64.6,31.33,178.0
male,first,attacker,29.9,250.0,166.4,66.9,30.34,137.0
male,first,attacker,25.8,156.0,188.0,78.1,34.27,144.0
male,first,attacker,26.0,259.0,169.4,70.2,31.97,119.0
male,first,attacker,19.0,183.0,176.6,76.8,34.83,80.0
male,first,attacker,30.0,269.0,162.8,67.1,32.97,181.0
male,first,attacker,30.2,206.0,182.2,76.6,32.35,168.0
male,first,attacker,24.2,244.0,170.4,68.1,34.57,134.0
male,first,attacker,19.8,172.0,179.0,73.1,34.26,77.0
male,first,attacker,27.7,360.0,174.6,73.9,36.44,194.0
male,first,attacker,31.0,285.0,187.4,76.6,32.36,154.0
male,first,attacker,26.7,133.0,168.1,64.4,29.68,90.0
male,first,attacker,22.0,191.0,176.6,76.3,33.24,90.0
male,first,attacker,26.7,214.0,177.1,73.8,32.87,146.0
male,first,attacker,25.7,245.0,176.3,79.5,29.65,98.0
male,first,attacker,25.5,256.0,172.8,74.7,33.9,130.0
male,first,attacker,23.4,276.0,177.2,65.7,32.37,89.0
male,first,attacker,32.8,266.0,175.8,80.7,35.08,233.0
male,first,attacker,21.4,235.0,177.1,72.8,33.22,94.0
male,first,attacker,23.8,339.0,173.4,68.1,33.36,102.0
male,first,attacker,26.3,119.0,183.6,76.2,32.74,124.0
male,first,attacker,27.9,338.0,181.1,79.3,32.9,142.0
male,first,attacker,26.1,252.0,180.1,73.4,34.3,144.0
male,first,attacker,25.3,225.0,191.3,77.4,34.13,122.0
male,first,attacker,24.5,188.0,184.2,77.3,34.11,119.0
male,first,attacker,26.4,238.0,177.1,72.1,33.64,134.0
male,first,attacker,26.3,284.0,184.6,75.5,34.45,130.0
male,first,attacker,29.4,327.0,172.3,64.3,33.64,205.0
male,first,attacker,27.8,226.0,179.8,71.2,34.28,153.0
male,first,attacker,20.6,93.0,164.4,56.0,33.67,86.0
male,first,attacker,28.0,164.0,177.8,66.5,29.78,101.0
male,first,attacker,27.5,211.0,175.5,77.2,30.86,111.0
male,first,attacker,19.4,179.0,176.8,70.9,35.49,83.0
male,first,attacker,23.3,164.0,166.6,64.0,32.3,113.0
male,first,attacker,23.2,254.0,165.3,71.3,31.5,81.0
male,first,attacker,22.4,137.0,179.7,74.6,32.17,78.0
male,first,attacker,26.3,219.0,176.1,63.1,33.36,129.0
male,first,attacker,26.2,214.0,166.2,70.6,31.27,101.0
male,first,attacker,19.5,165.0,179.7,73.4,36.22,95.0
male,first,attacker,27.6,342.0,177.6,68.5,33.4,139.0
male,first,attacker,25.5,194.0,182.4,78.9,31.77,93.0
male,first,attacker,22.4,224.0,183.2,77.1,34.84,98.0
male,first,attacker,29.5,375.0,168.4,69.2,34.41,186.0
male,first,attacker,25.7,324.0,174.2,67.8,34.68,155.0
male,first,attacker,21.2,155.0,172.2,61.5,33.55,78.0
male,first,attacker,26.4,334.0,182.8,78.0,33.35,136.0
male,first,attacker,30.2,256.0,177.1,74.5,33.02,175.0
male,first,attacker,22.8,256.0,173.1,71.9,35.3,111.0
male,first,attacker,28.1,262.0,177.5,77.2,34.36,180.0
male,first,attacker,22.4,229.0,174.4,73.4,32.21,103.0
male,first,attacker,25.6,230.0,176.7,71.0,33.33,120.0
male,first,attacker,28.1,222.0,176.8,69.3,32.5,130.0
female,first,attacker,29.9,42.0,161.9,49.9,25.44,187.0
female,first,attacker,26.4,28.0,166.0,50.5,24.37,195.0
female,first,attacker,28.6,50.0,158.9,52.0,26.93,110.0
female,first,attacker,23.0,39.0,164.1,54.3,22.43,62.0
female,first,attacker,25.2,34.0,169.1,63.0,22.52,98.0
female,first,attacker,18.4,33.0,160.4,51.8,26.45,83.0
