gbifid,datasetkey,occurrenceid,kingdom,phylum,class,order,family,genus,species,infraspecificepithet,taxonrank,scientificname,countrycode,locality,publishingorgkey,decimallatitude,decimallongitude,coordinateuncertaintyinmeters,coordinateprecision,elevation,elevationaccuracy,depth,depthaccuracy,eventdate,day,month,year,taxonkey,specieskey,basisofrecord,institutioncode,collectioncode,catalognumber,recordnumber,identifiedby,license,rightsholder,recordedby,typestatus,establishmentmeans,lastinterpreted,mediatype,issue,,,,
1324201535,66a51aea-8662-4685-9fd0-9d4b596617d5,ie.nbdc.dataset.BiodiversityRecordsFromIreland.24756819431789121,Animalia,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,Craspedacusta,Craspedacusta sowerbii,,SPECIES,Craspedacusta sowerbii Lankester,1880,GB,Carrybridge,d2b97690-bfd6-11de-b279-d52977ace833,54.283611,-7.546944,100,,,,,,2013-09-06T00:00:00Z,6,9,2013,4408321,4408321,HUMAN_OBSERVATION,NBDC,BiodiversityRecordsFromIreland,2.47568194317891E+016,,,CC_BY_4_0,,Joe Caffrey,,,2018-07-06T23:17:00.228Z,,COUNTRY_DERIVED_FROM_COORDINATES,TAXON_MATCH_FUZZY,COORDINATE_ROUNDED,
1324201534,66a51aea-8662-4685-9fd0-9d4b596617d5,ie.nbdc.dataset.BiodiversityRecordsFromIreland.24756819431789113,Animalia,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,Craspedacusta,Craspedacusta sowerbii,,SPECIES,Craspedacusta sowerbii Lankester,1880,IE,Scarriff Harbour,d2b97690-bfd6-11de-b279-d52977ace833,52.905556,-8.528611,100,,,,,,2013-08-01T00:00:00Z,1,8,2013,4408321,4408321,HUMAN_OBSERVATION,NBDC,BiodiversityRecordsFromIreland,2.47568194317891E+016,,,CC_BY_4_0,,T. Cassells,,,2018-07-06T23:17:00.216Z,,TAXON_MATCH_FUZZY,COORDINATE_ROUNDED,,
1324201533,66a51aea-8662-4685-9fd0-9d4b596617d5,ie.nbdc.dataset.BiodiversityRecordsFromIreland.24756819431789117,Animalia,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,Craspedacusta,Craspedacusta sowerbii,,SPECIES,Craspedacusta sowerbii Lankester,1880,IE,Scarriff Harbour,d2b97690-bfd6-11de-b279-d52977ace833,52.905556,-8.528611,100,,,,,,2013-08-28T00:00:00Z,28,8,2013,4408321,4408321,HUMAN_OBSERVATION,NBDC,BiodiversityRecordsFromIreland,2.47568194317891E+016,,,CC_BY_4_0,,Dan Minchin and Joe Caffrey,,,2018-07-06T23:17:00.197Z,,TAXON_MATCH_FUZZY,COORDINATE_ROUNDED,,
1324201532,66a51aea-8662-4685-9fd0-9d4b596617d5,ie.nbdc.dataset.BiodiversityRecordsFromIreland.24756819431789119,Animalia,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,Craspedacusta,Craspedacusta sowerbii,,SPECIES,Craspedacusta sowerbii Lankester,1880,IE,Dromineer Harbour,d2b97690-bfd6-11de-b279-d52977ace833,52.931111,-8.278611,100,,,,,,2013-08-28T00:00:00Z,28,8,2013,4408321,4408321,HUMAN_OBSERVATION,NBDC,BiodiversityRecordsFromIreland,2.47568194317891E+016,,,CC_BY_4_0,,D.Germaine, T.Doyle and D. Minchin,,,2018-07-06T23:17:00.242Z,,TAXON_MATCH_FUZZY,COORDINATE_ROUNDED,
1324201531,66a51aea-8662-4685-9fd0-9d4b596617d5,ie.nbdc.dataset.BiodiversityRecordsFromIreland.24756819431789115,Animalia,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,Craspedacusta,Craspedacusta sowerbii,,SPECIES,Craspedacusta sowerbii Lankester,1880,IE,Scarriff Harbour,d2b97690-bfd6-11de-b279-d52977ace833,52.905556,-8.528611,100,,,,,,2013-08-26T00:00:00Z,26,8,2013,4408321,4408321,HUMAN_OBSERVATION,NBDC,BiodiversityRecordsFromIreland,2.47568194317891E+016,,,CC_BY_4_0,,D. Germaine and Colm Walsh,,,2018-07-06T23:17:00.270Z,,TAXON_MATCH_FUZZY,COORDINATE_ROUNDED,,
1324201530,66a51aea-8662-4685-9fd0-9d4b596617d5,ie.nbdc.dataset.BiodiversityRecordsFromIreland.24756819431789120,Animalia,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,Craspedacusta,Craspedacusta sowerbii,,SPECIES,Craspedacusta sowerbii Lankester,1880,IE,Roosky,d2b97690-bfd6-11de-b279-d52977ace833,53.833611,-7.914722,100,,,,,,2013-08-20T00:00:00Z,20,8,2013,4408321,4408321,HUMAN_OBSERVATION,NBDC,BiodiversityRecordsFromIreland,2.47568194317891E+016,,,CC_BY_4_0,,Stephan Kinahan,,,2018-07-06T23:17:00.241Z,,TAXON_MATCH_FUZZY,COORDINATE_ROUNDED,,
1324201529,66a51aea-8662-4685-9fd0-9d4b596617d5,ie.nbdc.dataset.BiodiversityRecordsFromIreland.24756819431789112,Animalia,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,Craspedacusta,Craspedacusta sowerbii,,SPECIES,Craspedacusta sowerbii Lankester,1880,IE,Scarriff Harbour,d2b97690-bfd6-11de-b279-d52977ace833,52.905556,-8.528611,100,,,,,,2013-09-06T00:00:00Z,6,9,2013,4408321,4408321,HUMAN_OBSERVATION,NBDC,BiodiversityRecordsFromIreland,2.47568194317891E+016,,,CC_BY_4_0,,P. Joyce,,,2018-07-06T23:17:00.230Z,,TAXON_MATCH_FUZZY,COORDINATE_ROUNDED,,
1324201528,66a51aea-8662-4685-9fd0-9d4b596617d5,ie.nbdc.dataset.BiodiversityRecordsFromIreland.24756819431789116,Animalia,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,Craspedacusta,Craspedacusta sowerbii,,SPECIES,Craspedacusta sowerbii Lankester,1880,IE,Scarriff Harbour,d2b97690-bfd6-11de-b279-d52977ace833,52.905556,-8.528611,100,,,,,,2013-08-26T00:00:00Z,26,8,2013,4408321,4408321,HUMAN_OBSERVATION,NBDC,BiodiversityRecordsFromIreland,2.47568194317891E+016,,,CC_BY_4_0,,Dan Minchin,,,2018-07-06T23:17:00.280Z,,TAXON_MATCH_FUZZY,COORDINATE_ROUNDED,,
1324201527,66a51aea-8662-4685-9fd0-9d4b596617d5,ie.nbdc.dataset.BiodiversityRecordsFromIreland.24756819431789118,Animalia,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,Craspedacusta,Craspedacusta sowerbii,,SPECIES,Craspedacusta sowerbii Lankester,1880,IE,Rossmore,d2b97690-bfd6-11de-b279-d52977ace833,53.019444,-8.314444,100,,,,,,2013-08-28T00:00:00Z,28,8,2013,4408321,4408321,HUMAN_OBSERVATION,NBDC,BiodiversityRecordsFromIreland,2.47568194317891E+016,,,CC_BY_4_0,,D. Germaine,,,2018-07-06T23:17:00.274Z,,TAXON_MATCH_FUZZY,COORDINATE_ROUNDED,,
1324201526,66a51aea-8662-4685-9fd0-9d4b596617d5,ie.nbdc.dataset.BiodiversityRecordsFromIreland.24756819431789114,Animalia,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,Craspedacusta,Craspedacusta sowerbii,,SPECIES,Craspedacusta sowerbii Lankester,1880,IE,Scarriff Harbour,d2b97690-bfd6-11de-b279-d52977ace833,52.905556,-8.528611,100,,,,,,2013-08-04T00:00:00Z,4,8,2013,4408321,4408321,HUMAN_OBSERVATION,NBDC,BiodiversityRecordsFromIreland,2.47568194317891E+016,,,CC_BY_4_0,,T. Cassells,,,2018-07-06T23:17:00.228Z,,TAXON_MATCH_FUZZY,COORDINATE_ROUNDED,,
