,Sex,Sample ID,Season,Site,Month,Year,Ad_Atlantic_Salmon,Ad_cutthroat_trout,Ad_dolly_varden,Ad_Chinook_salmon,Ad_chum_salmon,Ad_coho_salmon,Ad_pink_salmon,Ad_sockeye_salmon,Ad_steelhead,American_Shad,Atka_Mackerel,Bathyraja_interrupta,Bay_Goby,Bering_Flounder,Big_Skate,Blackbelly_Eelpout,Buffalo_Sculpin,Butter_Sole,Cabezon,California_Market_Squid,Capelin,China_Rockfish,Dover_Sole,Dungeness_crab,English_Sole,Eulachon,Giant_Pacific_Octopus,Giant_Wrymouth,Great_Sculpin,Juv_Atlantic_salmon,Juv_Chinook_salmon,Juv_chum_salmon,Juv_coho_salmon,Juv_cutthroat_trout,Juv_dolly_varden,Juv_pink_salmon_,Juv_sockeye_salmon,Juv_steelhead,Kelp_Greenling,Lingcod,Longfin_Smelt,Longspine_Combfish,Magister_armhook_squid,Northern_Anchovy,Northern_Clingfish,Northern_Smoothtongue,Pacific_Cod,Pacific_Hake,Pacific_Halibut,Pacific_Herring,Pacific_Red_Octopus,Pacific_Sand_Lance,Pacific_Sandfish,Pacific_Staghorn_Sculpin,Pacific_Tomcod,Padded_Sculpin,Pile_Surfperch,Plainfin_Midshipman,Prickly_Sculpin,Puget_Sound_Rockfish,Red_Irish_Lord,River_Lamprey,Rock_Gunnel,Sablefish,Saddleback_Gunnel,Sand_Sole,Shiner_Surfperch,Snake_Prickleback,Speckled_Sanddab,Spiny_Dogfish,Spotted_Ratfish,Starry_Flounder,Striped_Surfperch,Surf_Smelt,Tadpole_Sculpin,Threespine_Stickleback,Walleye_Pollock,Whitebait_Smelt,Whitespotted_Greenling,Wolf_Eel,Unnamed: 86,Batrachoidiformes,Cephalopoda,Chimaeriformes,Clupeiformes,Crustacea,Gadiformes,Gasterosteiformes,Gobiesociformes,Osmeriformes,Perciformes,Petromyzontiformes,Pleuronectiformes,Rajiformes,Salmoniformes,Scorpaeniformes,Squaliformes
Sex,0.0,13.530711890378784,0.2550607354064893,0.05794096717936348,0.1940528478600846,0.5457218912001068,0.5061874019323142,0.9682824105156672,0.01525205441588029,0.9472012005205522,0.5198702150162154,0.9362998461846279,0.32984255722423894,0.3775145989897034,0.9433876177821888,0.5040221082602002,0.9673120711511388,0.40435389292343527,0.27342534654365414,0.30941335869310815,0.9562728604844386,0.2932932185905567,0.4921588596623956,0.9058424625323073,0.251468662088418,0.10140893464593914,0.6140836654529381,0.5583997586003857,0.42642670272040384,0.5281820553513314,0.06237472973214242,0.1929401642252131,0.2079676850329052,0.6646577529853787,0.7625130838872215,0.4128366072091805,0.46085971818953286,0.40311554414694617,0.5504138278247867,0.9536598813904906,0.14807356999535048,0.6798627366468802,0.7813027882837983,0.39436833655430326,0.4643398075668119,0.028202714210639246,0.009937031174857114,0.5055398844692618,0.8011521011067724,0.23530611672052348,0.08310236037144325,0.8624112413916631,0.04208178409481467,0.13137667798817798,0.6092657344448772,0.565808956134453,0.6610983763479066,0.10407176388270134,0.10637590005444142,0.46230253477194905,0.7637077026048522,0.9389119010753436,0.5653549933768567,0.7431264377218504,0.8459464339614462,0.8437406688395511,0.2095626867737892,0.09969495243796811,0.3353075583328782,0.8351736440560191,0.9458778478278438,0.2961155828661278,0.6837927105523615,0.7004392154957517,0.4504710110971736,0.6260061776618498,0.915889786960421,0.5614955913830785,0.5024431457779873,0.38414824884680576,0.3330237780258305,0.9637921765725151,0.7445011365069325,0.4867065137721024,0.1467454243240507,0.07746055310001121,0.7227801896228426,0.6692062829247523,0.7474675629494999,0.41367835824593935,0.9045991423986275,0.6836090920654831,0.20865252047287264,0.5554680469234589,0.280522835277516,0.06330746400697751,0.5350352762051479,0.6892976902466816,0.18809195041346294,0.22734907950148886,0.9276910751566118,0.007216603087630835,0.23326638322107074
Sample ID,13.530711890378784,0.0,13.489968388303367,13.396010831470472,13.408669277765473,13.51955513576329,13.776285000819668,13.430555467508032,13.369637165550065,13.545198989413366,13.389626269015244,13.058803726605152,13.466086055271004,13.607529305059517,13.385830427858318,13.469447601862054,13.658737472059114,13.624037583574562,13.344193720208516,13.445609289287487,13.542609162756992,13.989103879350052,13.726933255136435,13.572756876754328,13.164622242817682,13.498173956390248,13.489264954771304,13.67117654194559,13.903308671442813,13.471171782226552,13.602484605715574,13.203318048502231,13.37570450672031,13.607009470372576,13.588992872543749,13.653808512394038,12.809001592770997,13.727458176271373,13.698984224092433,13.68611309202186,13.34136871337484,13.561234563679882,13.67398575568575,13.68643884952466,13.375792850664768,13.117875922709427,13.693962939343745,13.37838013658809,13.260228795282664,13.612983155380936,13.245600620147401,13.572990425672161,13.766886997616943,13.716615860309023,13.725043210857468,13.436227681777904,14.031294738641662,13.38389710079851,13.534784231248542,13.444476863439673,13.72818288378334,13.945332584285124,13.571194583508957,13.457062607285305,13.560657823195237,13.745185852148706,13.520706321691433,13.405244857692834,13.57449263183281,13.556915889647891,13.37051658169146,13.989010329531602,13.483039122703707,13.131943116325846,13.360470362844016,13.225103675613074,13.85246390177028,13.112944058473978,13.762450645557834,13.435890546478774,13.717448762547628,13.595219906208877,13.308135164135422,13.831273554962646,13.551814335634191,13.510245808559402,13.55212738770496,13.724478294008925,13.311584634656487,13.2422750601827,13.330266723724053,13.322683166371554,13.81803648215216,13.101668535582094,13.573894508022937,13.010156946857933,13.890069665287283,13.948497045590004,13.40625382959549,13.141550471014682,13.527629478485677,13.448869346696684,13.554791061500577
Season,0.2550607354064893,13.489968388303364,0.0,0.13762967306822582,0.7986408191572012,0.1569965970320869,0.5186090070424021,0.9977537883935133,0.7304911838520975,0.6953834137026238,0.17255888168228772,0.9037322697351753,0.6632838680302565,0.34125483026683046,0.4323405102035007,0.008446385678399615,0.7706648658610112,0.3261176778990541,0.4699712770134231,0.5932336431438288,0.08929312204582696,0.2697762490156137,0.6031692310395282,0.23683539326136338,0.7944474993202063,0.44298692902376824,0.2353835303079328,0.4746649339162672,0.6226860446081848,0.9899456932913717,0.5204797983036004,0.8133331786485032,0.030216403619169885,0.9832672809338182,0.7378676425209608,0.04262651257694816,0.4166221694480928,0.45005337766040143,0.7589818703835912,0.8018844511137616,0.6031835576415441,0.6102760324336219,0.518284757458234,0.7060697539926074,0.6351596753265545,0.23106920458186841,0.21934678001177976,0.06864831010334316,0.994844653939623,0.24773847844087693,0.7924454461669893,0.22939929826840055,0.8999406224708973,0.12575714614718603,0.5221363633071348,0.18076471039743125,0.27174530361019167,0.4463788038404075,0.48519516714114796,0.4564393860614744,0.751843085111993,0.7658586008503759,0.3537985885289918,0.6864619422725099,0.17471833261652425,0.6029817169959445,0.297327345595054,0.4211350322767612,0.8037653163776917,0.36250465013844857,0.6823284069578027,0.4757413596758807,0.6438268663941089,0.3884750460141363,0.5096695526107989,0.12400066777500429,0.9130043455094448,0.4921101653924085,0.8089523989813268,0.7635289842083194,0.8578831902343067,0.3003335231256712,0.7996966919099573,0.40243536204734287,0.8756914156554354,0.49186052956954596,0.17655443820451866,0.7092783657024976,0.3561879998123666,0.26483905539113295,0.6130247256600544,0.7803914258957644,0.33721827595899867,0.14585076751182446,0.6976574533579191,0.3143713404656725,0.07989835986325189,0.3990283481984628,0.9351956344200022,0.8584015986985438,0.014015287677238697,0.3528340026260993,0.8763372089756891
Site,0.05794096717936348,13.396010831470472,0.13762967306822582,0.0,0.9479583226551274,0.4269941365730253,0.6278833022855999,0.6575763983900027,0.1989706858582594,0.8487919576112914,0.6303820525353404,0.012576271188107446,0.07480626525731326,0.6874043870392189,0.4183464057292673,0.20370315055828436,0.884570758423925,0.7125428388680568,0.0916686396790608,0.8136659201781691,0.3904432915843694,0.9242131810924933,0.10658299178526309,0.8535143629108064,0.756649287467763,0.8762722486638779,0.04170315316984108,0.8809746663769443,0.02387068698594519,0.16071455459240014,0.1951966112977086,0.3407021962177411,0.575858140003209,0.045500217177781965,0.9297606642090848,0.6872188546437906,0.841168014116237,0.9897792209583031,0.5014884147075949,0.6798181967016366,0.28417152366053944,0.1722734810312866,0.6469513301375991,0.0287767049587625,0.8608792027847886,0.46571387620716587,0.8427361510491348,0.2509598543700716,0.6133651184926916,0.12141688080001745,0.5027459920943371,0.49786571942957636,0.6013274394224838,0.5392400863236418,0.5788009637982016,0.024725058994383597,0.3361585443224464,0.46178453963333854,0.4792800233457295,0.7093692306758489,0.07383124894825677,0.23192355868940095,0.08396312473917422,0.6493825503030571,0.7037290559160949,0.3053295828865753,0.13573783580715582,0.1906039961121505,0.2830055149991497,0.5625284249375597,0.7115846329075154,0.8656291329511905,0.9633543914816345,0.28480606285869714,0.2544233008101069,0.49864124575379243,0.054692391031447074,0.9227187745738715,0.2949028968704196,0.5969641838394617,0.5748550217100401,0.312127930682769,0.29966464880714727,0.10014511947652893,0.42806789201806106,0.14726558674934342,0.3731188503275229,0.09653195532337866,0.7691255258168147,0.2405909578909109,0.045644158879737495,0.019276477178872042,0.617953577411576,0.16529038819013375,0.5698733543088583,0.5262447086861047,0.7509171849182027,0.8972639064788712,0.07303850858475869,0.023511612217653077,0.35938354988511834,0.5400599603038121,0.8858174552160059
Month,0.1940528478600846,13.408669277765473,0.7986408191572012,0.9479583226551274,0.0,0.7181219570569458,0.9564506122718799,0.6548548871921996,0.8230616706406614,0.7474617823769462,0.9075070049466479,0.10753238519559838,0.5007658727154439,0.42633670905922505,0.014689834617058417,0.3919411389055588,0.39491858857122486,0.046990204383726586,0.8007792092952005,0.957817414026602,0.5633972743642893,0.2808899075523099,0.7223670491835251,0.33155126392296586,0.939693893913622,0.33138106679751933,0.0615175890231513,0.7676319523382934,0.09681091392513852,0.8324478214494332,0.7473643054174632,0.6780618307308456,0.7403732694540877,0.9744060389611603,0.22566118961797588,0.689693377388079,0.16286245265118404,0.2359077486137191,0.2650946478853142,0.843548583712413,0.9259210941900231,0.45772259626503664,0.21339721767094288,0.5958534699720149,0.695227041297631,0.275081866802773,0.05981101979521031,0.7856749276781823,0.2764798481847026,0.2699353235125299,0.8990624577877233,0.03836951001934552,0.41493412631152526,0.9310389321259313,0.4111673936576159,0.8989820605730099,0.6985819479664765,0.5675696993543751,0.711124386510251,0.33738541821735546,0.1614724263612929,0.12175602917451356,0.9883012666547842,0.7252087943040351,0.7419975669907289,0.1739096016344046,0.7739135911321493,0.8613871834557598,0.3976712510206699,0.5790174447395313,0.2846189396537063,0.8385737306209626,0.609904127190841,0.9907229688597885,0.16971341930959394,0.9457614034093039,0.8638683144254597,0.8692262152409691,0.021944147257293434,0.9966186063728006,0.5011905049499871,0.2411692714253576,0.05699500231718124,0.9036489022765107,0.1822226118561847,0.6545135897847014,0.07217668362307073,0.5824719486838321,0.0008293514840235217,0.7729413143188298,0.4210642270784326,0.12579413173273413,0.23019752694641638,0.9193547766355809,0.4897510389090073,0.5978473884275062,0.7820003636569932,0.63413950171144,0.9863498312041304,0.9700748481510788,0.763522954561014,0.9748087269509216,0.43540897293379777
Year,0.5457218912001068,13.51955513576329,0.1569965970320869,0.4269941365730253,0.7181219570569458,0.0,0.8585240067664652,0.7410137089739516,0.40563071859043476,0.734049967410231,0.9199878529365219,0.4493727084344248,0.005907148544767704,0.23837645035743893,0.028175869561059552,0.10182713582366709,0.9668537333355124,0.24085335402810237,0.21601696912939194,0.008063048200031009,0.8795442863099288,0.8544673321838959,0.8683926256062169,0.9018374386115944,0.8969876461800714,0.6074507210760578,0.6128756005730278,0.6905280592790449,0.6461670299623348,0.35999791767089107,0.49990955803149806,0.700407328196307,0.3433361317268724,0.19281527026870293,0.4011436583126109,0.8880744314154475,0.8270668391513929,0.5068919671038525,0.15989705754594996,0.006214768567555429,0.6589208569659697,0.9654424151123264,0.4144099725318391,0.5166182587418444,0.07885397020630625,0.5198007338911718,0.5845717067324292,0.9024365896595172,0.49049200318854036,0.9764564289225741,0.4685380636485619,0.4387541018759801,0.535996657487353,0.020348243492676055,0.2827407107202623,0.8450022155276128,0.8456299469449682,0.9938820149291352,0.9608516266702295,0.3478091160055402,0.929159674435189,0.760038681472245,0.42520391141024105,0.8165422016866983,0.49253104996981134,0.5512595162732845,0.7727324893888163,0.5578841745875905,0.5009358319561178,0.1996134626485523,0.9390448065024486,0.9682497378929139,0.1392387731667274,0.0996025878928356,0.20693992636692382,0.672489390455881,0.11115241036590284,0.9229570204332933,0.16760671494662327,0.70159477361101,0.32589772740758405,0.6374862057152374,0.8110262867374721,0.8983092763782528,0.8769952877122237,0.37500911379407875,0.8850654990793889,0.13759630510813659,0.44937898612559446,0.6689084130940526,0.8393501376956445,0.6277855637637859,0.6718573089064988,0.3190952827118696,0.9923517499807846,0.35925857991266696,0.8857949614430634,0.03202991752068696,0.8824718222850078,0.22577731205668505,0.638762582270259,0.1111918959160515,0.5328429586456953
Ad_Atlantic_Salmon,0.5061874019323142,13.776285000819668,0.5186090070424021,0.6278833022855999,0.9564506122718799,0.8585240067664652,0.0,0.7000382931865232,0.8506147578152063,0.9059612696056705,0.9356927926843963,0.019843670219935827,0.03259806024171774,0.3823034286882424,0.425924241229379,0.0627851981127111,0.08184898048011102,0.2659148832993893,0.8703494877401151,0.6613580715613314,0.6293959906592009,0.8559936181046929,0.40215903584325086,0.5576054865717054,0.9460592116373698,0.17111974563094234,0.5430021377346682,0.6654803983609681,0.6017439044084034,0.19818334872469723,0.1150892001827104,0.9271312682051125,0.636558661350963,0.13582853381513837,0.7264771678206474,0.8589069547359057,0.1319189752373906,0.3622679115450207,0.7673119213145586,0.26261432771148485,0.19250150480235084,0.6313660474812853,0.6377314241370956,0.48577760922962954,0.932694023264851,0.28829667168406004,0.4789912626664883,0.5496713219305279,0.46258446050794444,0.5662617179754832,0.06895926798148788,0.2721279070951157,0.747369439771453,0.7711549784108587,0.3403212474688402,0.7145315008193478,0.6212616871915153,0.9998942248708272,0.7689328764153462,0.12621703976082743,0.24139228004226976,0.791809139515931,0.5278149930090433,0.14182779873126528,0.16966791132568748,0.7492418066064296,0.5928237304075799,0.7600649738308949,0.382906990479601,0.2145622659449512,0.14113677269023028,0.30128372708501183,0.6276399188233022,0.9857147599422591,0.5456675067172343,0.5807835676204771,0.669537379621923,0.7552123907172396,0.9299099981286312,0.45685043850367835,0.17150715846519626,0.9043481120254225,0.24861249340691638,0.5253891505751533,0.2207283126370314,0.41262024697514377,0.19382611440252906,0.9766446545329487,0.8192491885126645,0.8022650675291431,0.3369983689687679,0.2084212582568875,0.1864155257228386,0.40243716243788674,0.9490361082723836,0.8877550409280464,0.2049871584670233,0.6706212849229921,0.20892113543508783,0.47201520914254513,0.7436455108644627,0.01238669206072529,0.6517249955887293
Ad_cutthroat_trout,0.9682824105156672,13.430555467508032,0.9977537883935133,0.6575763983900027,0.6548548871921996,0.7410137089739516,0.7000382931865232,0.0,0.96589723822552,0.9406068952675335,0.45306050972787415,0.5933174533163684,0.13157268359828456,0.8026766574289493,0.025415980410386174,0.3035788058602088,0.17446912739078602,0.15029723979772602,0.8542975751976858,0.8537690938331537,0.15404198442393757,0.49764956025535645,0.15756119271472024,0.6874485159477005,0.090416513215131,0.7098054298887603,0.4033832349817883,0.7006648331971181,0.3172189760181434,0.18954966498569703,0.4468189768655374,0.4933554307219379,0.3216290392850687,0.17778996384061552,0.5846463986598738,0.7624088778195479,0.41474581991774495,0.3663639058185758,0.246937236024521,0.43657484361030996,0.9304255448123675,0.9340060333852069,0.028289477898607807,0.9147885483199827,0.834070423505811,0.7770852986414856,0.14400082135324332,0.9542635574372262,0.28183995720157085,0.24920602039213813,0.44143798001924606,0.01893079458640312,0.12442571785995837,0.22412416170807647,0.5281732908631417,0.3606872389509428,0.26513432068642984,0.16028040744916405,0.6422309689344088,0.10688812387752511,0.526102703529045,0.0694067853084912,0.1965816089047031,0.8142808351536255,0.26518366562230256,0.3614001884078569,0.3631553019124253,0.20216967131331465,0.23282522097501712,0.28343020410511377,0.004325237987153896,0.28231604378648256,0.4496608357723284,0.8253125302410352,0.4777984555718666,0.023415723955684142,0.7156208506969878,0.7831547018912133,0.20407489750929575,0.49581945896792223,0.09492439894324711,0.8852407172981955,0.6183171864178815,0.7510524496270997,0.409661105389032,0.74627788066015,0.6780853951643536,0.11698271701905094,0.5519291678820099,0.820807393409614,0.7937335310557618,0.13208383252293088,0.7819979729649311,0.7808907995764564,0.2671144558869829,0.6560756701578137,0.9812491827785301,0.9953912649922916,0.45807977339919037,0.2750502992847307,0.2711318373010435,0.3700768705418851,0.9105249548707353
Ad_dolly_varden,0.01525205441588029,13.369637165550065,0.7304911838520975,0.1989706858582594,0.8230616706406614,0.40563071859043476,0.8506147578152063,0.96589723822552,0.0,0.13756522917509717,0.7877045307396437,0.7494492880128705,0.03919900214859762,0.3231058920903327,0.4319577728400661,0.32375646090498966,0.5127728295213272,0.2481689651316734,0.8794995474934687,0.8635429135834503,0.896718224738625,0.8887474219107125,0.814756263302133,0.04830157944002322,0.6684376403277534,0.8829554232200316,0.9681509801896127,0.02980138781210162,0.6264439201301831,0.29707912724264063,0.09503473409981888,0.4704757051427074,0.6365452288815261,0.270187718083871,0.28387496288231884,0.7934362126099885,0.855648542805948,0.28960293596594144,0.20321573272813276,0.47272629825642953,0.23326997458732612,0.9124203276042189,0.10841741767730972,0.8045062760357662,0.9435610804381359,0.36626569665429387,0.6330228987625006,0.811706507046575,0.11595975030331174,0.1327427956759195,0.45614473327997607,0.31878951730392135,0.18395893968458088,0.09758900387302638,0.17882817810579288,0.4114390692630754,0.40540457149709586,0.8435903141003562,0.21432028951367588,0.5443874389332255,0.7916407070133313,0.735794011536045,0.3810309205731838,0.07595677775381371,0.35298212852029753,0.9995260270511298,0.20177944436446682,0.13614896467007576,0.5756620801568316,0.2723456769824596,0.561963859697179,0.04874299012652061,0.6107267426010853,0.0145273810990032,0.2769815162283079,0.22693690726237725,0.17472353947299935,0.5295044724030205,0.8596905018592077,0.2049300478895436,0.9965709734972951,0.009774456444261781,0.7027795206656721,0.5473116308310326,0.1915158600127953,0.265962012261303,0.9879013015188731,0.05395464586235166,0.02339350312834587,0.5528143835988104,0.8510098041223241,0.8285195756244896,0.09024574937762952,0.005022958852087367,0.8014897560922373,0.3434306622177218,0.7135120048881989,0.017664357164987377,0.7325229358827524,0.25291898042663186,0.7997211063922921,0.6535124458785776,0.039714782349131394
Ad_Chinook_salmon,0.9472012005205522,13.545198989413366,0.6953834137026238,0.8487919576112914,0.7474617823769462,0.734049967410231,0.9059612696056705,0.9406068952675335,0.13756522917509717,0.0,0.8039643518451719,0.5227172669817529,0.8339678227848044,0.623465775774382,0.24623914383394618,0.020897689435674716,0.3111954317670872,0.811111315957932,0.24894634582183917,0.49208038818419564,0.854314390545526,0.6055704785262942,0.6776485895321752,0.19945894894922023,0.504398376018525,0.7560525090584892,0.16919392252338017,0.05196637591106723,0.9148249773766124,0.6618157211025875,0.6099705567451807,0.397860940164,0.7273805457554914,0.9555704375537524,0.6607234309807744,0.8116357082269074,0.04975073993352841,0.6525373268266574,0.07319051306653113,0.7580042604322504,0.4877283661326822,0.3725460938225478,0.308100864212177,0.9497669159028961,0.2898352572662366,0.4523394561539461,0.4402777107614695,0.7824942205836615,0.5799739328377008,0.43594172805516196,0.08609460341459729,0.7178253746920447,0.5891397925573019,0.97507272374313,0.713832842358348,0.8443741118527646,0.889384061976621,0.11244525495769475,0.841269578437432,0.0343948939174733,0.40576586697783734,0.03359943836571666,0.019978738916445526,0.596934586268457,0.32919741445729556,0.07717247855050169,0.6692114025213982,0.15959795485066597,0.0873081251390615,0.7485069431770628,0.8852779245804825,0.8163129475263001,0.5790451997128687,0.5469255599797656,0.26996241501038654,0.11341023374701165,0.8330732195346581,0.563086979776194,0.10412673984124465,0.4224304380418161,0.9793864150007581,0.80390913148752,0.8973361805592754,0.774912452990365,0.42004904327557646,0.6257783985641536,0.6640249002912212,0.2680756932953505,0.42587098149869307,0.2026284354458021,0.9975800164252995,0.3404553076406882,0.11845161977244512,0.38381314645108233,0.6703147975229719,0.33915012998795724,0.6960571155917811,0.5189393411168873,0.5316691682344424,0.26935741669331226,0.3356215842052619,0.1953692344000778,0.24486015124605742
